#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891010695971875, 0, 0.0926423, -1.7650499, 1.2356937, 1.1112891, 10.3660936, -5.9327628
1891010705933875, 0, -0.0392369, -1.6339082, 0.8103893, 2.9943732, 9.0733818, -5.6095848
1891010715896875, 0, -0.2520695, -1.1832409, 0.4751210, 2.3399341, 8.9293813, -5.7091278
1891010725858875, 0, -0.4488654, -0.8424561, 0.3201588, 0.5804929, 9.6803696, -6.1375369
1891010735820875, 0, -0.5218432, -0.7537545, 0.3199327, -1.0752141, 10.2863095, -6.1056532
1891010745782875, 0, -0.3892695, -0.8134609, 0.4037280, -2.1389021, 10.0471069, -5.5160294
1891010755744875, 0, -0.3057224, -1.0332415, 0.4099894, -1.8814375, 10.2247874, -6.9644174
1891010765707875, 0, -0.2456276, -1.2145863, 0.3593020, -0.0476010, 11.3362262, -9.3306967
1891010775669875, 0, -0.1752845, -1.3057777, 0.3483226, 1.1882291, 11.5894995, -7.7007362
1891010785631875, 0, -0.2468133, -1.2349912, 0.3822131, 0.7229965, 11.2345876, -7.9341010
1891010795593875, 0, -0.4287061, -1.0050073, 0.5044637, -0.7339238, 11.4719939, -8.9358179
1891010805555875, 0, -0.6008129, -0.7928510, 0.7065707, -1.6552579, 11.1988120, -8.9480923
1891010815518875, 0, -0.5834240, -0.6359107, 0.8269472, -1.7947678, 11.5700400, -8.6045567
1891010825480875, 0, -0.3152464, -0.5223026, 0.8480629, -1.2629237, 12.0777841, -7.2037697
1891010835442875, 0, 0.1232548, -0.4528010, 0.8050009, -0.3498225, 11.8159785, -5.8791742
1891010845404875, 0, 0.6068289, -0.3067836, 0.6758914, 1.2799883, 11.6269217, -5.1051338
1891010855366875, 0, 0.9536119, 0.0256311, 0.5332730, 3.0867311, 11.4359189, -5.1221983
1891010865329875, 0, 0.9742631, 0.1424338, 0.5182077, 4.7104047, 10.8433012, -6.5416965
1891010875291875, 0, 0.6268693, 0.0766370, 0.4056870, 6.4740372, 10.1689536, -9.3053993
1891010885253875, 0, 0.1344843, 0.0321880, 0.1131726, 8.7256549, 9.3553954, -10.8995842
1891010895215875, 0, -0.1812324, 0.0061921, -0.2648745, 9.4984978, 8.6897296, -10.6760989
1891010905177875, 0, -0.1530654, -0.1303439, -0.5297118, 8.1291454, 8.1694116, -9.3003099
1891010915140875, 0, 0.1472225, -0.3909760, -0.5981020, 5.7499928, 7.4239618, -7.8637473
1891010925102875, 0, 0.5666107, -0.6333175, -0.5534632, 3.8089792, 7.1650003, -6.8891240
1891010935064875, 0, 0.9416543, -0.8117486, -0.5471036, 2.8797116, 8.1251038, -6.8259554
1891010945026875, 0, 1.2691540, -0.9885920, -0.6124077, 2.4480093, 9.7433885, -7.4149805
1891010954988875, 0, 1.2718227, -0.9356290, -0.7821802, 2.0098705, 10.7768394, -7.7142082
1891010964951875, 0, 1.0265378, -0.7133746, -0.8742918, 1.5612534, 10.6427184, -8.2773372
1891010974913875, 0, 0.8003566, -0.3703634, -0.8490533, 1.0725197, 9.3802437, -7.0953951
